Survived,Age,SibSp,Parch,Fare,Pclass_2,Pclass_3,Sex_1
0,22.0,1,0,1.9810014688665833,0,1,1
1,38.0,1,0,4.26666207838721,0,0,0
1,26.0,0,0,2.0700223197633445,0,1,0
1,35.0,1,0,3.9721769282478934,0,0,0
0,35.0,0,0,2.0856720914304723,0,1,1
0,54.0,0,0,3.948595985658986,0,0,1
0,2.0,3,1,3.048087503887919,0,1,1
1,27.0,0,2,2.409940617298087,0,1,0
1,14.0,1,0,3.4035546012358333,1,0,0
1,4.0,1,1,2.8154087194227095,0,1,0
1,58.0,0,0,3.279029747687948,0,0,0
0,20.0,0,0,2.0856720914304723,0,1,1
0,39.0,1,5,3.442819056352975,0,1,1
0,14.0,0,0,2.061048420562944,0,1,0
1,55.0,0,0,2.772588722239781,1,0,0
0,2.0,4,1,3.371596911885865,0,1,1
0,31.0,1,0,2.8903717578961645,0,1,0
0,35.0,0,0,3.258096538021482,1,0,1
1,34.0,0,0,2.5649493574615367,1,0,1
1,15.0,0,0,2.0830848965946345,0,1,0
1,28.0,0,0,3.56953269648137,0,0,1
0,8.0,3,1,3.048087503887919,0,1,0
1,38.0,1,5,3.4464097244837033,0,1,0
0,19.0,3,2,5.572154032177765,0,0,1
0,40.0,0,0,3.32218303393412,0,0,1
0,66.0,0,0,2.3513752571634776,1,0,1
0,28.0,1,0,4.408800007809053,0,0,1
0,42.0,1,0,3.9512437185814275,0,0,1
0,21.0,0,0,2.0856720914304723,0,1,1
0,18.0,2,0,2.8903717578961645,0,1,0
1,14.0,1,0,2.419630078580691,0,1,0
0,40.0,1,0,2.24865675096849,0,1,0
0,27.0,1,0,3.044522437723423,1,0,0
1,3.0,1,2,3.7276000422255353,1,0,0
1,19.0,0,0,2.0642263758733557,0,1,0
0,18.0,1,0,2.8791984572980396,0,1,0
0,7.0,4,1,3.6810362766529106,0,1,1
0,21.0,0,0,2.0541237336955462,0,1,1
1,49.0,1,0,4.340282339965535,0,0,0
1,29.0,1,0,3.258096538021482,1,0,0
0,65.0,0,1,4.126798844886821,0,0,1
1,21.0,0,0,2.3513752571634776,1,0,0
0,28.5,0,0,1.9781283799793465,0,1,1
1,5.0,1,2,3.3232358401924436,1,0,0
0,11.0,5,2,3.8480176754522337,0,1,1
0,22.0,0,0,1.9781283799793465,0,1,1
0,45.0,1,0,4.424547185829718,0,0,1
0,4.0,3,2,3.32862668882732,0,1,1
1,29.0,0,0,2.3513752571634776,1,0,0
0,19.0,0,0,2.0990358139382788,0,1,1
1,17.0,4,2,2.0700223197633445,0,1,0
0,26.0,2,0,2.1590033645160216,0,1,1
0,32.0,0,0,2.3513752571634776,1,0,1
0,16.0,5,2,3.8480176754522337,0,1,0
0,21.0,0,0,4.297285406218791,1,0,1
0,26.0,1,0,2.6709850297651974,0,1,1
1,32.0,0,0,4.034166299106131,0,1,1
0,25.0,0,0,2.0347056478384444,0,1,1
1,0.83,0,2,3.367295829986474,1,0,1
1,30.0,0,0,2.5237266416375825,0,1,0
0,22.0,0,0,2.1972245773362196,0,1,1
1,29.0,0,0,2.2512917986064953,0,1,1
0,28.0,0,0,3.8522730010223722,0,0,1
1,17.0,0,0,2.3513752571634776,1,0,0
1,33.0,3,0,2.7631695003232895,0,1,0
0,16.0,1,3,3.5373295559867355,0,1,1
1,23.0,3,2,5.572154032177765,0,0,0
0,24.0,0,0,2.0856720914304723,0,1,1
0,29.0,0,0,2.0856720914304723,0,1,1
0,20.0,0,0,2.061048420562944,0,1,1
0,46.0,1,0,4.113738609328736,0,0,1
0,26.0,1,2,3.0240767465631335,0,1,1
0,59.0,0,0,1.9810014688665833,0,1,1
0,71.0,0,0,3.545418930411529,0,0,1
1,23.0,0,1,4.148805916338137,0,0,1
1,34.0,0,1,3.1354942159291497,1,0,0
0,34.0,1,0,3.258096538021482,1,0,1
0,28.0,0,0,2.0663309725297405,0,1,0
0,21.0,0,1,4.347532234884687,0,0,1
0,33.0,0,0,2.158044752235899,0,1,1
0,37.0,2,0,2.0700223197633445,0,1,1
0,28.0,0,0,2.0663309725297405,0,1,1
1,21.0,0,0,2.0347056478384444,0,1,0
0,38.0,0,0,2.0663309725297405,0,1,1
0,47.0,0,0,3.9512437185814275,0,0,1
0,14.5,1,0,2.6709850297651974,0,1,0
0,22.0,0,0,2.0856720914304723,0,1,1
0,20.0,1,0,2.284930157755325,0,1,0
0,17.0,0,0,2.671268644120752,0,1,0
0,21.0,0,0,2.0700223197633445,0,1,1
0,70.5,0,0,2.0476928433652555,0,1,1
0,29.0,1,0,3.044522437723423,1,0,1
0,24.0,0,1,5.5114946188815885,0,0,1
0,2.0,4,2,3.442819056352975,0,1,0
0,21.0,2,0,4.297285406218791,1,0,1
0,32.5,1,0,3.4035546012358333,1,0,1
1,32.5,0,0,2.5649493574615367,1,0,0
0,54.0,0,1,4.347532234884687,0,0,1
1,12.0,1,0,2.419630078580691,0,1,1
1,24.0,0,0,1.9659508432494155,0,1,1
0,45.0,0,0,1.9423323277074294,0,1,1
0,33.0,0,0,2.0663309725297405,0,1,1
0,20.0,0,0,1.9530276168241774,0,1,1
0,47.0,1,0,2.6741486494265287,0,1,0
1,29.0,1,0,3.258096538021482,1,0,0
0,25.0,0,0,2.5649493574615367,1,0,1
0,23.0,0,0,2.711098882480229,1,0,1
1,19.0,0,2,3.2689337565093157,0,0,0
0,37.0,1,0,3.9721769282478934,0,0,1
0,16.0,0,0,2.221017055930222,0,1,1
0,24.0,0,0,4.37197629882038,0,0,1
1,22.0,0,0,2.0476928433652555,0,1,0
1,24.0,1,0,2.7631695003232895,0,1,0
0,19.0,0,0,1.9095425048844386,0,1,1
0,18.0,0,0,2.4423470353692043,1,0,1
0,19.0,1,1,3.6041382256588457,1,0,1
1,27.0,0,0,2.0535851271346086,0,1,1
0,9.0,2,2,3.5373295559867355,0,1,0
0,36.5,0,2,3.258096538021482,1,0,1
0,42.0,0,0,2.5649493574615367,1,0,1
0,51.0,0,0,2.5277266469709283,1,0,1
1,22.0,1,0,4.198704577546343,0,0,0
0,55.5,0,0,2.0856720914304723,0,1,1
0,40.5,0,2,2.6741486494265287,0,1,1
0,51.0,0,1,4.117071015545232,0,0,1
1,16.0,0,0,2.0455356796500372,0,1,0
0,30.0,0,0,2.0856720914304723,0,1,1
0,44.0,0,1,2.7788192719904172,0,1,1
1,40.0,0,0,2.7568403652716422,1,0,0
0,26.0,0,0,2.0509134580652977,0,1,1
0,17.0,0,0,2.1590033645160216,0,1,1
0,1.0,4,1,3.6810362766529106,0,1,1
1,9.0,0,2,3.021643655338492,0,1,1
0,45.0,1,4,3.32862668882732,0,1,0
0,28.0,0,0,4.034166299106131,0,1,1
0,61.0,0,0,3.5115454388310208,0,0,1
0,4.0,4,1,3.371596911885865,0,1,1
1,1.0,1,1,2.409940617298087,0,1,0
0,21.0,0,0,2.0700223197633445,0,1,1
